F5DY.IDX	5-Day Mcap Hi-Lo S&P 500 Consumer Disc
F5DZ.IDX	5-Day Mcap Hi-Lo Russell 3000
F5HA.IDX	5-Day Mcap Highs AMEX
F5HB.IDX	5-Day Mcap Highs S&P 500 Materials
F5HC.IDX	5-Day Mcap Highs Russell 2000
F5HF.IDX	5-Day Mcap Highs S&P 500 Financials
F5HG.IDX	5-Day Mcap Highs Russell 1000
F5HH.IDX	5-Day Mcap Highs Price GT $10
F5HI.IDX	5-Day Mcap Highs S&P 500 Industrials
F5HJ.IDX	5-Day Mcap Highs S&P 500 Utilities
F5HK.IDX	5-Day Mcap Highs S&P 500 Info Tech
F5HL.IDX	5-Day Mcap Highs Price Lt $10
F5HM.IDX	5-Day Mcap Highs S&P 500 Consumer Staples
F5HN.IDX	5-Day Mcap Highs NYSE
F5HO.IDX	5-Day Mcap Highs S&P 100
F5HP.IDX	5-Day Mcap Highs S&P 500
F5HQ.IDX	5-Day Mcap Highs Nasdaq
F5HR.IDX	5-Day Mcap Highs S&P 500 Real Estate
F5HS.IDX	5-Day Mcap Highs S&P 500 Health Care
F5HT.IDX	5-Day Mcap Highs S&P 500 Energies
F5HU.IDX	5-Day Mcap Highs Volume Lt 100K
F5HV.IDX	5-Day Mcap Highs Volume GT 100K
F5HW.IDX	5-Day Mcap Highs S&P 500 Telecom Srvs
F5HX.IDX	5-Day Mcap Highs Overall
F5HY.IDX	5-Day Mcap Highs S&P 500 Consumer Disc
F5HZ.IDX	5-Day Mcap Highs Russell 3000
F5LA.IDX	5-Day Mcap Lows AMEX
F5LB.IDX	5-Day Mcap Lows S&P 500 Materials
F5LC.IDX	5-Day Mcap Lows Russell 2000
F5LF.IDX	5-Day Mcap Lows S&P 500 Financials
F5LG.IDX	5-Day Mcap Lows Russell 1000
F5LH.IDX	5-Day Mcap Lows Price GT $10
